i,xi,Lxi,fxi,Exi,
1,-1.000000000000000e+00,3.678794411714423e-01,3.678794411714423e-01,0.000000000000000e+00,
2,-9.797979797979798e-01,3.753871581581378e-01,3.753869269345544e-01,2.312235833898987e-07,
3,-9.595959595959596e-01,3.830479950219876e-01,3.830476214290482e-01,3.735929393958702e-07,
4,-9.393939393939394e-01,3.908650982189234e-01,3.908646512563072e-01,4.469626162773000e-07,
5,-9.191919191919192e-01,3.988416750015946e-01,3.988412068237137e-01,4.681778809106267e-07,
6,-8.989898989898990e-01,4.069809950366380e-01,4.069805436467683e-01,4.513898697073725e-07,
7,-8.787878787878788e-01,4.152863920266935e-01,4.152859836777806e-01,4.083489129879932e-07,
8,-8.585858585858586e-01,4.237612653385761e-01,4.237609166616761e-01,3.486769000091931e-07,
9,-8.383838383838384e-01,4.324090816390125e-01,4.324088015194718e-01,2.801195407768446e-07,
10,-8.181818181818182e-01,4.412333765393535e-01,4.412331677599840e-01,2.087793694847972e-07,
11,-7.979797979797980e-01,4.502377562506696e-01,4.502376169203467e-01,1.393303228946000e-07,
12,-7.777777777777778e-01,4.594258992506418e-01,4.594258240359266e-01,7.521471521616265e-08,
13,-7.575757575757576e-01,4.688015579636544e-01,4.688015391402353e-01,1.882341904986236e-08,
14,-7.373737373737374e-01,4.783685604555011e-01,4.783685887954514e-01,2.833995029424027e-08,
15,-7.171717171717172e-01,4.881308121441139e-01,4.881308776541761e-01,6.551006227341707e-08,
16,-6.969696969696970e-01,4.980922975277226e-01,4.980923900530609e-01,9.252533830962249e-08,
17,-6.767676767676768e-01,5.082570819318567e-01,5.082571916389563e-01,1.097070996388598e-07,
18,-6.565656565656566e-01,5.186293132765973e-01,5.186294310282473e-01,1.177516500137140e-07,
19,-6.363636363636364e-01,5.292132238654893e-01,5.292133415000503e-01,1.176345610130552e-07,
20,-6.161616161616162e-01,5.400131321975237e-01,5.400132427239652e-01,1.105264415212867e-07,
21,-5.959595959595960e-01,5.510334448035984e-01,5.510335425230855e-01,9.771948705479625e-08,
22,-5.757575757575758e-01,5.622786581088687e-01,5.622787386729876e-01,8.056411899469386e-08,
23,-5.555555555555556e-01,5.737533603223943e-01,5.737534207374328e-01,6.041503847312212e-08,
24,-5.353535353535354e-01,5.854622333554961e-01,5.854622719415307e-01,3.858603464209406e-08,
25,-5.151515151515152e-01,5.974100547702279e-01,5.974100710831303e-01,1.631290234675471e-08,
26,-4.949494949494949e-01,6.096016997593765e-01,6.096016944832164e-01,5.276160176131712e-09,
27,-4.747474747474747e-01,6.220421431593969e-01,6.220421179761098e-01,2.518328703595340e-08,
28,-4.545454545454545e-01,6.347364614976929e-01,6.347364189402819e-01,4.255741107152093e-08,
29,-4.343434343434343e-01,6.476898350756541e-01,6.476897783706126e-01,5.670504152127318e-08,
30,-4.141414141414141e-01,6.609075500888555e-01,6.609074829929388e-01,6.709591670006317e-08,
31,-3.939393939393939e-01,6.743950007858329e-01,6.743949274217548e-01,7.336407814736122e-08,
32,-3.737373737373737e-01,6.881576916668408e-01,6.881576163619457e-01,7.530489509792676e-08,
33,-3.535353535353535e-01,7.022012397240032e-01,7.022011668554530e-01,7.286855015095845e-08,
34,-3.333333333333333e-01,7.165313767242679e-01,7.165313105737893e-01,6.615047868366785e-08,
35,-3.131313131313131e-01,7.311539515365718e-01,7.311538961573359e-01,5.537923583349025e-08,
36,-2.929292929292929e-01,7.460749325046276e-01,7.460748916023818e-01,4.090224578538705e-08,
37,-2.727272727272727e-01,7.613004098667424e-01,7.613003866968738e-01,2.316986861432887e-08,
38,-2.525252525252525e-01,7.768365982240757e-01,7.768365955058757e-01,2.718200048617940e-09,
39,-2.323232323232323e-01,7.926898390587481e-01,7.926898589077489e-01,1.984900075985979e-08,
40,-2.121212121212121e-01,8.088666033032086e-01,8.088666471820897e-01,4.387888108463517e-08,
41,-1.919191919191919e-01,8.253734939622713e-01,8.253735626504801e-01,6.868820883083882e-08,
42,-1.717171717171717e-01,8.422172487892306e-01,8.422173423711300e-01,9.358189940507225e-08,
43,-1.515151515151515e-01,8.594047430174638e-01,8.594048608885093e-01,1.178710455368589e-07,
44,-1.313131313131313e-01,8.769429921489312e-01,8.769431330390940e-01,1.408901627914958e-07,
45,-1.111111111111111e-01,8.948391548009834e-01,8.948393168143698e-01,1.620133864152972e-07,
46,-9.090909090909091e-02,9.131005356128838e-01,9.131007162822623e-01,1.806693785186666e-07,
47,-7.070707070707071e-02,9.317345882134586e-01,9.317347845681871e-01,1.963547284557525e-07,
48,-5.050505050505051e-02,9.507489182512805e-01,9.507491268969341e-01,2.086456535837881e-07,
49,-3.030303030303030e-02,9.701512864887977e-01,9.701515036966301e-01,2.172078324188110e-07,
50,-1.010101010101010e-02,9.899496119618177e-01,9.899498337660452e-01,2.218042275448128e-07,
51,1.010101010101010e-02,1.010151975205754e+00,1.010152197506535e+00,2.223007814748396e-07,
52,3.030303030303030e-02,1.030766621550046e+00,1.030766840219941e+00,2.186698950543218e-07,
53,5.050505050505050e-02,1.051801964482163e+00,1.051802175473788e+00,2.109916249081085e-07,
54,7.070707070707071e-02,1.073266589082599e+00,1.073266788535163e+00,1.994525639076707e-07,
55,9.090909090909091e-02,1.095169255532268e+00,1.095169439874664e+00,1.843423966580880e-07,
56,1.111111111111111e-01,1.117518902693713e+00,1.117519068741864e+00,1.660481506042836e-07,
57,1.313131313131313e-01,1.140324651767537e+00,1.140324796813729e+00,1.450461925485988e-07,
58,1.515151515151515e-01,1.163595810025456e+00,1.163595931917506e+00,1.218920501434503e-07,
59,1.717171717171717e-01,1.187341874621405e+00,1.187341971829573e+00,9.720816831495192e-08,
60,1.919191919191919e-01,1.211572536482076e+00,1.211572608151818e+00,7.166974157852765e-08,
61,2.121212121212121e-01,1.236297684278334e+00,1.236297730267129e+00,4.598879485074366e-08,
62,2.323232323232323e-01,1.261527408478883e+00,1.261527429375601e+00,2.089671764836723e-08,
63,2.525252525252525e-01,1.287272005487622e+00,1.287272002613111e+00,2.874510494649957e-09,
64,2.727272727272727e-01,1.313541981866081e+00,1.313541957253949e+00,2.461213193308536e-08,
65,2.929292929292929e-01,1.340348058642360e+00,1.340348014999206e+00,4.364315439142445e-08,
66,3.131313131313131e-01,1.367701175707966e+00,1.367701116352680e+00,5.935528525136732e-08,
67,3.333333333333333e-01,1.395612496303970e+00,1.395612425086090e+00,7.121788017324694e-08,
68,3.535353535353535e-01,1.424093411597892e+00,1.424093332795399e+00,7.880249312775759e-08,
69,3.737373737373737e-01,1.453155545352714e+00,1.453155463550136e+00,8.180257771498150e-08,
70,3.939393939393939e-01,1.482810758689441e+00,1.482810678637589e+00,8.005185171363650e-08,
71,4.141414141414141e-01,1.513071154944614e+00,1.513071081403816e+00,7.354079806514043e-08,
72,4.343434343434343e-01,1.543949084624187e+00,1.543949022193451e+00,6.243073599157978e-08,
73,4.545454545454545e-01,1.575457150455174e+00,1.575457103390318e+00,4.706485562009591e-08,
74,4.747474747474747e-01,1.607608212536483e+00,1.607608184560914e+00,2.797556834929424e-08,
75,4.949494949494949e-01,1.640415393590334e+00,1.640415387702851e+00,5.887483199096613e-09,
76,5.151515151515152e-01,1.673892084315684e+00,1.673892102600408e+00,1.828472344096287e-08,
77,5.353535353535354e-01,1.708051948845062e+00,1.708051992289383e+00,4.344432097489609e-08,
78,5.555555555555556e-01,1.742908930306216e+00,1.742908998633458e+00,6.832724159155836e-08,
79,5.757575757575758e-01,1.778477256490002e+00,1.778477348014370e+00,9.152436750180844e-08,
80,5.959595959595960e-01,1.814771445625902e+00,1.814771557138203e+00,1.115123013124960e-07,
81,6.161616161616162e-01,1.851806312266590e+00,1.851806438960170e+00,1.266935797915054e-07,
82,6.363636363636364e-01,1.889596973282968e+00,1.889597108730308e+00,1.354473396651592e-07,
83,6.565656565656566e-01,1.928158853971050e+00,1.928158990162544e+00,1.361914934147395e-07,
84,6.767676767676768e-01,1.967507694272142e+00,1.967507821729665e+00,1.274575234109154e-07,
85,6.969696969696970e-01,2.007659555107691e+00,2.007659663086745e+00,1.079790540980518e-07,
86,7.171717171717172e-01,2.048630824830246e+00,2.048630901625661e+00,7.679541437119984e-08,
87,7.373737373737374e-01,2.090438225791911e+00,2.090438259163367e+00,3.337145579123367e-08,
88,7.575757575757576e-01,2.133098821031719e+00,2.133098798766666e+00,2.226505311912243e-08,
89,7.777777777777778e-01,2.176630021083329e+00,2.176629931716248e+00,8.936708055864995e-08,
90,7.979797979797980e-01,2.221049590904457e+00,2.221049424612857e+00,1.662916003244107e-07,
91,8.181818181818182e-01,2.266375656929451e+00,2.266375406628466e+00,2.503009850758717e-07,
92,8.383838383838384e-01,2.312626714246415e+00,2.312626376905441e+00,3.373409740289532e-07,
93,8.585858585858586e-01,2.359821633900298e+00,2.359821212106693e+00,4.217936046856715e-07,
94,8.787878787878788e-01,2.407979670323355e+00,2.407979174119919e+00,4.962034366074071e-07,
95,8.989898989898990e-01,2.457120468894388e+00,2.457119917919056e+00,5.509753323465569e-07,
96,9.191919191919192e-01,2.507264073628177e+00,2.507263499586180e+00,5.740419964680825e-07,
97,9.393939393939394e-01,2.558430934996511e+00,2.558430384497103e+00,5.504994081467676e-07,
98,9.595959595959596e-01,2.610641917882232e+00,2.610641455674016e+00,4.622082159669392e-07,
99,9.797979797979798e-01,2.663918309667693e+00,2.663918022308597e+00,2.873590954220913e-07,
100,1.000000000000000e+00,2.718281828459045e+00,2.718281828459045e+00,0.000000000000000e+00,
